,product_name,Accuracy_Score,uses_cov
262,P1432,0.42048231056510743,no
263,P1433,0.09523809523579752,no
264,P1435,2.7777775413184713e-08,no
265,P1436,0.13136288964681553,no
266,P1437,0.23666622985191976,no
267,P1438,0.06060606058006612,no
268,P1440,0.08443540182598852,no
269,P1441,0.0638200183654728,no
270,P1442,0.23647058813380817,no
271,P1443,0.0,no
272,P1444,3.284072347398137e-09,no
273,P1445,0.0,no
274,P1446,0.0,no
275,P1448,0.0,no
276,P1450,0.02585469811428731,no
277,P1451,0.39629669680245105,no
278,P1452,0.22699110888458063,no
279,P1454,0.6262431644659345,no
280,P1456,0.25543050213636465,no
281,P1457,0.5046498716866243,no
282,P1458,0.0,no
283,P1459,1.6474464015203694e-08,no
284,P1460,0.0,no
285,P1461,0.18261490264148816,no
286,P1462,1.0582010379067697e-08,no
287,P1463,0.0,no
288,P1464,0.0,no
289,P1465,0.0,no
290,P1466,0.027105353975877766,no
291,P1468,0.10098472329399633,no
292,P1469,0.13706100820117728,no
293,P1470,0.188405797024904,no
294,P1471,0.08617065990890682,no
295,P1472,0.17721518987341767,no
296,P1473,0.31014262061034026,no
297,P1474,0.14467005065675098,no
298,P1475,0.0,no
299,P1476,1.6666658331221385e-07,no
300,P1477,2.2222192586074385e-07,no
301,P1478,7.407405755444074e-08,no
302,P1479,6.666657775822316e-07,no
303,P1482,0.6935818612907034,yes
304,P1483,0.41707732492284366,no
305,P1484,0.6414467306885592,no
306,P1486,0.21735031024779783,yes
307,P1488,0.7401195035831805,no
308,P1490,0.7112047647076015,no
309,P1491,0.6896422771372962,no
310,P1492,0.6253871982647143,yes
311,P1494,0.7326594206411335,yes
312,P1495,0.0,no
313,P1498,0.3470805022521878,no
314,P1499,0.2040348452625126,no
315,P1500,0.0035263872192899948,no
316,P1506,0.536837581140994,yes
317,P1511,0.269869808295614,no
318,P1515,8.474576151940028e-09,no
319,P1518,0.0,no
320,P1520,0.0,no
321,P1522,0.7186980924810984,no
322,P1524,0.7931103968606414,no
323,P1525,0.0,no
324,P1526,0.7803577377741622,no
325,P1528,0.0,no
326,P1529,0.13063676898695087,no
327,P1530,0.19741061159422602,no
328,P1531,0.06584362130045707,no
329,P1534,0.38146350803566353,no
330,P1535,0.6993952056775279,no
331,P1536,0.35853930307859827,no
332,P1538,0.23904665001695813,no
333,P1539,0.7082211034057933,no
334,P1540,0.5281014428132339,no
335,P1541,0.0,no
336,P1542,0.4929827389420661,no
337,P1543,0.17663353430014683,no
338,P1544,0.11534025374855827,no
339,P1545,0.25211227249156853,no
340,P1546,0.14357807702686587,no
341,P1547,0.30196582645803416,no
342,P1548,0.48595434072036503,no
343,P1549,0.0,no
344,P1551,0.6965925978987006,no
345,P1552,0.0,no
346,P1560,0.7270106025356797,no
347,P1563,0.8070797607675284,no
348,P1566,0.7373628954967453,no
349,P1567,0.45969509510279194,no
350,P1569,0.612915642061107,no
351,P1571,0.8394533492972451,no
352,P1572,0.5115090574440204,yes
353,P1573,0.6628615959644462,no
354,P1574,0.7875996659351558,no
355,P1577,0.813171254980958,no
356,P1578,0.8408704377698014,no
357,P1579,0.8171082317720952,no
358,P1580,0.8723071250565959,yes
359,P1581,0.5445352628386757,no
360,P1582,0.730440081384787,no
361,P1583,0.3878435338761119,yes
362,P1584,0.8605763462220619,yes
363,P1587,0.7743658340276084,no
364,P1588,0.7737934508726453,yes
365,P1590,0.7429148463827172,no
366,P1591,0.7963897687113097,no
367,P1592,0.0642465130089086,no
368,P1593,0.7085240333252426,yes
369,P1594,0.6026768213837146,no
370,P1595,0.8204708699400053,no
371,P1596,0.7718375261943202,yes
372,P1597,0.8024643899646,no
373,P1598,0.6130553867275046,no
374,P1599,0.7505618739863452,no
375,P1600,0.7274827109149402,yes
376,P1601,0.6115307365309162,yes
377,P1603,0.45708515651295856,no
378,P1604,0.46838066431412073,no
379,P1605,0.8349652506983349,no
380,P1606,0.6863443549236847,no
381,P1607,0.5572587162757293,yes
382,P1608,0.7123004738836134,no
383,P1609,0.8384851157832555,no
384,P1610,9.730654948469919e-09,no
385,P1611,0.731534198776561,no
386,P1612,0.722745889507183,no
387,P1613,0.77286835357324,no
388,P1614,0.7030521243977874,no
389,P1615,0.7787652259157603,no
390,P1616,0.6014057133058679,no
391,P1617,0.6789106427616703,no
392,P1618,0.3565837388939658,no
393,P1619,0.6522350249929889,no
394,P1620,0.7569055515185329,no
395,P1624,1.8601188256361922e-08,no
396,P1625,0.09481702007298043,no
397,P1626,0.7603991132946981,no
398,P1628,0.0,no
399,P1630,0.8303190080013143,no
400,P1631,0.3391277415345233,no
401,P1637,0.7868237917439364,no
402,P1638,0.7492417988130624,no
403,P1640,0.6966463335252084,no
