,product_name,Accuracy_Score,Val_Score,uses_cov
221,P1338,0.4937200940525648,0.1651572874979631,no
222,P1339,0.0,0.0,no
223,P1343,0.14659902333344854,0.0803977616139625,no
224,P1344,0.24007507244996096,0.14734638830127922,no
225,P1346,0.8006095586719473,0.789368050106615,no
226,P1348,0.11426859822394808,0.07414091325585903,no
227,P1351,0.9027375176822342,0.7914416550200124,no
228,P1352,0.0,0.0,no
229,P1353,0.1495959902396644,0.044986787272442874,no
230,P1355,0.8091204920948665,0.6506478295516247,no
231,P1357,0.690639545416293,0.5010569807225994,yes
232,P1359,0.4604131293736182,0.09113136742548811,no
233,P1362,0.882201454834568,0.7781641092124708,no
234,P1363,0.1652789792255186,0.038539869913933544,no
235,P1365,0.8292550687638396,0.8410248458037317,no
236,P1366,0.17587935973159186,0.1317222977659963,no
237,P1367,0.8738272369899885,0.6874202403213552,no
238,P1369,4.978858245685558e-07,1.0342597400736508e-07,no
239,P1372,0.7439230440725024,0.35873666865366016,no
240,P1373,0.5821666997227832,0.5585788338543103,no
241,P1374,0.0,0.0,no
242,P1376,0.7676550948046825,0.712675778389768,no
243,P1378,0.0,0.0,no
244,P1380,0.7385460537325739,0.7322019032321136,no
245,P1381,0.0,0.0,no
246,P1382,0.0,0.0,no
247,P1383,0.0,0.0,no
248,P1385,5.999995198457952e-07,1.965601870157485e-08,no
249,P1386,0.7099514531245786,0.7303942050783438,no
250,P1387,0.4364092338568185,0.37063217961514416,no
251,P1388,0.49452993501188813,0.13042065935799385,no
252,P1389,0.7808805117625948,0.5037491695430927,no
253,P1390,0.19333369545727574,0.3489060851959275,no
254,P1391,0.44191231638861095,0.3661863106627673,no
255,P1392,0.2548616804291427,0.14320243690265533,no
256,P1393,0.17842760671581714,0.0,no
257,P1394,0.45684303294347794,0.4509212529022075,no
258,P1395,0.8333814908301469,0.7655814520781441,no
259,P1397,0.34354483560573323,0.009709300612766203,no
260,P1430,0.1482782231407932,0.249358442675102,no
261,P1431,0.1601164918638418,0.13844012498608926,no
262,P1432,0.32613073467256914,0.05081161726372152,no
263,P1433,2.2222215634304376e-07,2.2222177775699237e-07,no
264,P1435,2.2222202467059304e-07,2.7777774080917084e-08,no
265,P1436,0.053678068725357186,0.0003247933951687765,no
266,P1437,0.47788752189594974,0.36165942862245126,no
267,P1438,1.6666655555663823e-07,1.6666641666773785e-07,no
268,P1440,0.10218978069944917,0.06763285010030473,no
269,P1441,0.08861671469740628,0.032411067193675924,no
270,P1442,0.060045931357070925,0.037490820100938405,no
271,P1443,3.278686373509032e-07,1.9999963996042425e-07,no
272,P1444,8.720887390012422e-08,3.284072347398137e-09,no
273,P1445,0.0,0.0,no
274,P1446,0.0,0.0,no
275,P1448,1.6662423918401004e-07,0.0,no
276,P1450,0.18322038876038216,0.1413277305657562,no
277,P1451,0.023437500183831728,0.10554371002132201,no
278,P1452,0.3136756796350777,0.2730228694987399,no
279,P1454,0.7157446441323908,0.6241503644619705,no
280,P1456,0.47871505640019607,0.21160934197425174,no
281,P1457,0.7090955907712888,0.6768977213650624,no
282,P1458,0.08260036383435876,0.03524813770779334,no
283,P1459,1.6666665492159893e-08,1.647446379315909e-08,no
284,P1460,0.12144902002218216,0.0,no
285,P1461,0.07058556766240187,0.006070103381666803,no
286,P1462,5.3763438145892906e-09,1.0582010157023092e-08,no
287,P1463,1.190476173196231e-08,0.0,no
288,P1464,1.8518517053145445e-08,0.0,no
289,P1465,0.09090909078850051,0.0,no
290,P1466,0.1919945422179632,0.1251412367445015,no
291,P1468,2.2222212336941993e-07,1.3605441773201221e-08,no
292,P1469,0.4506993425653246,0.20046720994767342,no
293,P1470,0.2601626016260161,0.1586126266562745,no
294,P1471,0.1903553296911661,0.17241379295222192,no
295,P1472,2.2727272175337987e-08,1.7660043649669888e-08,no
296,P1473,0.1501457724118227,0.033670033613183326,no
297,P1474,7.017542891230022e-08,6.249998840690552e-08,no
298,P1475,0.14312575193746524,0.07607111587772741,no
299,P1476,4.301074862933518e-08,1.6666654167885042e-07,no
300,P1477,3.8095234966561975e-08,2.2222177775699237e-07,no
301,P1478,1.7241378658106044e-08,7.407404933879036e-08,no
302,P1479,3.333331850541299e-07,4.444439999362615e-07,no
303,P1482,0.8499984528145168,0.7863191824142359,no
304,P1483,0.5814589227507668,0.6126275244909245,no
305,P1484,0.5135507573720471,0.4799733032185485,no
306,P1486,0.6160829544136389,0.17595331716435703,no
307,P1488,0.3951552600280225,0.7771009316939861,no
308,P1490,0.504817552400523,0.03730281674647107,no
309,P1491,0.29475643184495603,0.046599229414894694,no
310,P1492,0.7499948158936365,0.5092584213402216,no
311,P1494,0.8355242558555342,0.6124779423398408,no
312,P1495,0.0,0.0,no
313,P1498,0.1643148705231492,0.07787589540643658,no
314,P1499,2.9629612063875044e-07,9.999998717979963e-08,no
315,P1500,4.1433806163837517e-08,3.9123629003157134e-08,no
316,P1506,0.7508422462294726,0.5904658830356446,no
317,P1511,0.8211070143325974,0.502212752977977,no
318,P1515,0.09646967993390443,0.03544698384361844,no
319,P1518,0.1684654108601572,0.0,no
320,P1520,0.0,0.0,no
321,P1522,0.34522916992572716,0.22468291021408004,no
322,P1524,0.8639914546340042,0.7668231310543152,no
323,P1525,0.0,0.0,no
324,P1526,0.7208511391826569,0.7216505787919891,no
325,P1528,0.0,0.0,no
326,P1529,0.46784630850557507,0.11862359196883243,no
327,P1530,0.1585727241068665,0.2648655322763549,no
328,P1531,4.1666659789107996e-08,7.407402480286152e-08,no
329,P1534,0.1369227893848025,0.4275996105447766,no
330,P1535,0.6728651822852949,0.798785333181973,no
331,P1536,0.32475884239172637,0.12216398487294644,no
332,P1538,0.1760066683765068,0.07342370922198682,no
333,P1539,0.9127593795377422,0.7610063444060423,no
334,P1540,6.785411232890226e-09,2.5626948341184175e-09,no
335,P1541,0.2967405954043668,0.17983922814989162,no
336,P1542,0.3148293031016062,0.37300516147913154,no
